Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count,Unemployment Rate
35801,22253,44.0,59352.0,41807,8.668494136,34.7364493,-86.55016540000001,68,3.586033343818811
77378,14151,34.7,48136.0,24117,19.37672249,30.4882668,-95.3311652,0,3.0315878736485056
63951,219,48.8,47768.0,20417,25.11415525,37.0826711,-90.2620042,0,0.0
47932,5381,42.5,53462.0,26981,8.028247537999999,40.1366826,-87.40091650000001,4,4.999070804683145
75942,289,38.1,43512.0,15008,26.29757785,30.818214299999998,-94.4288102,4,6.228373702422146
2543,736,49.7,66250.0,50348,8.559782608999999,38.5324071,-82.69538979999999,38,3.9402173913043477
51049,476,47.9,47847.0,22334,12.39495798,42.6366175,-95.6563119,0,2.9411764705882355
92115,61084,27.5,41866.0,21011,25.69576321,32.761275899999994,-117.07352409999999,111,6.437037522100714
16699,820,34.7,,4506,0.0,40.46,-78.59,8,0.0
28529,2653,45.1,41858.0,20985,16.50961176,35.0797761,-76.8836261,0,5.390124387485865
25414,17147,40.1,72833.0,32308,11.13897475,39.25360870000001,-77.87102850000001,15,4.630547617659066
27549,24784,40.3,36969.0,20001,18.5321175,36.0730279,-78.24761459999999,7,7.847805035506779
14113,630,45.6,47500.0,33149,10.31746032,42.6839855,-78.3273245,0,3.015873015873016
91405,54435,32.0,38847.0,17645,26.1100395,34.2037124,-118.45719740000001,175,7.443740240653991
92111,47271,35.9,57350.0,27391,18.79799454,32.825642699999996,-117.15588670000001,139,5.584819445325887
69101,29745,38.4,45156.0,25867,11.58177845,41.2169959,-100.7548851,2,3.1501092620608504
97229,59983,37.8,100063.0,44657,4.851374556000001,45.55939779999999,-122.807445,59,3.4776520014003967
22066,19475,43.5,214219.0,89776,1.201540436,39.0188593,-77.30946740000002,53,1.9409499358151476
48084,14689,37.0,84331.0,44055,5.568792974,42.558657200000006,-83.18097759999999,120,3.0635169174211994
35907,8339,40.7,70147.0,26791,5.144501739,33.8890435,-86.0325629,4,4.245113322940401
37743,26696,44.8,34855.0,19552,21.76730596,36.094122600000006,-82.8640623,3,4.738537608630507
730,37931,37.0,16259.0,9768,50.79486436,45.9145209,-119.279444,5,8.808098916453561
57725,110,66.6,57841.0,21549,16.36363636,43.9365164,-102.8514837,0,11.818181818181818
76310,18492,37.2,63646.0,27924,10.19900498,33.7928627,-98.5062007,7,2.8066190785204412
59542,262,34.0,33214.0,17982,13.74045802,48.8372286,-108.31205790000001,0,0.0
76135,20550,39.8,52945.0,27715,13.94160584,32.844703700000004,-97.4705935,12,4.2773722627737225
13637,4270,28.4,55104.0,23870,18.64168618,44.096328299999996,-75.8301537,3,5.784543325526932
37345,2155,46.0,38688.0,20549,15.68445476,35.046689,-86.23617440000001,1,5.846867749419953
63030,315,41.0,49441.0,22871,7.936507937000001,38.1348152,-90.74377609999999,0,5.079365079365079
26574,553,40.9,44038.0,21078,21.15732369,39.5562628,-80.1777417,3,1.9891500904159132
33559,16952,34.4,55643.0,27345,11.43817839,28.153776699999998,-82.41568290000001,53,5.067248702218027
27822,8082,43.6,46250.0,21943,18.70824053,35.7978006,-77.85959629999999,7,6.916604800791883
69130,5411,41.6,46899.0,21825,12.84420625,40.8911427,-99.9465077,4,1.515431528368139
46996,7358,40.1,45412.0,20784,16.5941832,41.032663799999995,-86.70138940000001,1,4.145148138081001
12464,935,58.1,49911.0,37118,3.6363636360000005,42.074861799999994,-74.3352858,2,4.598930481283422
59453,337,42.4,38750.0,20918,10.08902077,46.626670700000005,-109.76283059999999,0,1.1869436201780414
72347,689,45.3,31471.0,19479,15.38461538,35.364439000000004,-91.0011902,1,1.4513788098693758
13312,320,56.1,41250.0,30699,14.6875,43.712777100000004,-75.1778853,0,5.625
41046,1991,24.0,37585.0,13209,27.22250126,38.7099232,-84.7889907,0,6.981416373681567
29834,1344,38.9,32375.0,16178,20.83333333,33.5199743,-81.8422446,9,10.267857142857142
83634,25875,31.0,59221.0,16711,16.45217391,43.4356614,-116.2605101,0,3.3545893719806763
