Zipcode,Population,Median Age,Household Income,Per Capita Income,Poverty Rate,Lat,Lng,Bank Count
57219,727,50.1,57574,22913,5.777166437,45.2963479,-97.8048733,1
77336,12022,36,62995,30721,9.632340709,30.0721659,-95.0911062,3
83841,171,60.8,26618,23912,0,48.1658871,-116.7578804,0
37727,2101,49.8,29779,20369,25.70204664,35.9080666,-83.0146526,0
4107,8993,48.4,98629,53526,3.180251307,32.161272,-94.928204,0
68947,622,45.5,56250,33158,5.78778135,40.2577563,-99.0792263,0
3104,33145,37.6,60468,32130,11.0423895,36.7531922,-85.3976136,3
8002,22025,39.7,68465,34026,8.308740068,47.3601376,8.5293292,200
65733,653,51.3,33618,16655,15.46707504,36.5288863,-92.8588928,0
18519,4838,41.6,38990,24672,11.6783795,41.4635035,-75.626628,93
63128,29973,49.1,73440,39328,3.416408101,38.4948766,-90.3842527,96
98394,1567,39.1,57941,24595,4.977664327,47.3146613,-122.7741913,1
10309,32646,38.5,86297,35719,6.766525761,40.5265593,-74.223802,110
57105,21984,38.2,52255,30000,8.956513828,43.521619,-96.722641,166
42762,531,42.3,30500,15664,18.45574388,37.4399698,-86.3934152,0
55976,7480,37.5,53616,26641,6.99197861,43.8595945,-92.4801989,4
33496,22354,54.2,83138,64715,7.935939877,26.4039904,-80.1596041,125
47431,1268,35.6,37500,19556,31.23028391,39.2274015,-86.8922723,0
84093,23237,41,94938,40837,5.116839523,40.596417,-111.8270486,110
62063,1056,41.3,54074,25781,8.617424242,39.2166442,-90.1682271,1
2145,24659,33,55487,29355,16.34697271,-33.8173961,150.9481887,200
28782,6662,56.9,46713,28377,8.015610928,35.2542295,-82.116955,4
29001,1954,36.9,33205,17998,18.93551689,33.7823236,-80.1651854,0
3064,14533,40.6,64026,34045,11.64934976,30.4073242,-91.1021258,134
85611,963,53.1,50441,23419,9.345794393,31.672597,-110.4977108,0
57021,395,34.5,81875,28762,2.784810127,43.2616752,-96.974604,0
99102,519,35.4,43977,23766,11.75337187,46.7897474,-117.2503412,0
76525,1113,44.9,42750,21032,11.32075472,31.4823544,-98.1557066,1
43804,3750,25.4,36841,12923,28.85333333,40.4514728,-81.7458845,3
21901,16786,37.3,65951,29821,12.21255808,39.5855017,-75.9579358,8
41835,967,50.9,43690,19524,29.47259566,37.2144212,-82.6645469,5
87029,218,54.4,29265,28152,18.34862385,36.4560808,-106.9594723,0
27288,23445,42.5,33800,18470,22.38430369,36.4919544,-79.7624177,10
44276,1879,40.2,52330,24753,13.51782863,40.9413645,-81.8333656,8
58331,116,53.5,69792,51149,1.724137931,48.6206058,-99.1062244,0
28697,12899,42.9,39945,25458,22.92425769,36.1365807,-81.229853,17
37398,13589,45.6,43330,24562,12.19368607,35.1747032,-86.1141045,18
94556,15064,47.4,120960,62600,4.155602762,37.8357202,-122.1178261,37
71046,1491,37.9,41825,23280,10.99932931,32.1366223,-93.9266502,0
32409,8635,41.4,50461,24300,13.59583092,30.3424229,-85.7051116,1
13640,241,62.8,88125,48388,3.734439834,44.3125911,-75.9908334,4
48468,1440,55.2,38882,22710,13.05555556,43.9642956,-82.7994194,1
27317,16383,40.5,42295,22432,16.66971861,35.8392781,-79.7960523,6
44251,905,52.6,73021,47881,0.552486188,41.0296799,-81.9302928,9
95240,46482,33.1,41172,19814,22.97233338,38.1484821,-121.1022942,2
4268,4999,49.2,38629,21431,16.58331666,33.3178667,-94.6178524,0
2740,43308,37.4,34259,20649,24.51510114,35.9130399,-98.1210968,0
75640,4052,42.8,54423,22459,16.65844028,32.6978203,-94.7070616,1
63304,40094,39.8,85329,35568,4.337307328,38.7036005,-90.6488505,61
32064,6841,34.4,24090,14169,35.87194855,30.2889718,-82.9985343,7
5658,1505,41.6,43958,22443,17.6744186,46.606687,-114.584356,0
38152,818,19.8,,2691,0,35.1242857,-89.9360705,108
17263,597,47,63430,37458,15.41038526,39.7229767,-77.7246414,23
14555,1229,54.9,57500,30559,11.31000814,43.2605563,-76.9815877,2
46704,194,35.4,31089,13796,6.18556701,41.1036195,-85.2926152,19
65729,337,54.1,67350,32609,28.78338279,36.5328999,-92.5842062,0
60468,5847,41.5,75000,30813,3.488968702,41.3200326,-87.7960067,2
60305,11183,41.4,113317,62034,5.651435214,41.8940762,-87.8205864,198
52320,1109,46.6,59167,29853,9.738503156,42.0130002,-91.1544963,1
17980,2963,45.3,50240,24934,10.76611542,40.596463,-76.5430429,6
43157,606,32.6,27614,13239,32.34323432,39.8433948,-82.5496946,5
29113,2176,32.1,36875,13381,24.31066176,33.4229886,-81.1306391,0
957,46252,37.1,23736,11453,37.99619476,30.7534656,-91.080247,1
37737,5464,45.7,54405,29839,11.20058565,35.76046,-84.1118458,1
55735,1802,49,40592,23097,15.53829079,46.2074923,-93.0263934,0
59522,1784,49.2,43036,25407,26.00896861,48.5176651,-111.0536023,3
